# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=9.39328e-06 to 1.4903 h/Mpc,
# number of wavenumbers equal to 114
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:vx_smg                 7:vx_prime_smg           8:d_tot                  9:phi                   10:psi                   11:h                     12:h_prime               13:eta                   14:eta_prime             15:H_T_Nb_prime          16:k2gamma_Nb            17:t_g                   18:t_b                   19:t_ur                  20:t_tot              
       5.096246855571e-02      -3.046047812518e-01      -7.597287707136e+03      -7.633107564552e+03      -3.033296615880e-01       1.436215997962e+03       0.000000000000e+00      -1.952884763104e+03       2.587891110091e-01       2.587891110091e-01       1.526621512910e+04       2.147399936822e+00       4.415028895810e-01       1.489897399311e-04       2.196498578787e-08      -5.531986221169e-12      -1.073700350104e+00      -8.908760188173e-05      -1.073699968411e+00      -4.234567482375e-04 
       5.419865062627e-02      -2.900140263581e-01      -8.176171498178e+03      -8.209850210233e+03      -2.888011027604e-01       1.366485255796e+03       0.000000000000e+00      -2.100625641427e+03       2.461958247083e-01       2.461958247083e-01       1.641970042047e+04       2.310296644557e+00       4.199876618382e-01       1.419307251540e-04       2.091280991427e-08      -5.266990719183e-12      -1.155148685268e+00      -8.593523947214e-05      -1.155148322279e+00      -4.541045942546e-04 
       5.721659672825e-02      -2.776171994869e-01      -8.715564791892e+03      -8.747382129478e+03      -2.764575298754e-01       1.306820186056e+03       0.000000000000e+00      -2.238317017149e+03       2.354443384511e-01       2.354443384511e-01       1.749476425896e+04       2.461687689297e+00       4.015984548054e-01       1.357524108380e-04       2.001886212891e-08      -5.041845714364e-12      -1.230844191591e+00      -8.385498540869e-05      -1.230843844649e+00      -4.827141240578e-04 
       6.010665664036e-02      -2.663008825049e-01      -9.219559910551e+03      -9.250250263895e+03      -2.651895653864e-01       1.252595857751e+03       0.000000000000e+00      -2.367105686118e+03       2.256702207709e-01       2.256702207709e-01       1.850050052779e+04       2.603371235188e+00       3.848910264635e-01       1.302361753650e-04       1.920284398355e-08      -4.836327660314e-12      -1.301685949987e+00      -8.365292037000e-05      -1.301685617594e+00      -5.097487648545e-04 
       6.292298116387e-02      -2.554871170841e-01      -9.687979626603e+03      -9.718606510156e+03      -2.544216772500e-01       1.201071047449e+03       0.000000000000e+00      -2.487017994834e+03       2.163841774887e-01       2.163841774887e-01       1.943721302031e+04       2.735267623670e+00       3.690278404440e-01       1.249450227783e-04       1.842307697335e-08      -4.639939627205e-12      -1.367634130447e+00      -8.587390788547e-05      -1.367633811835e+00      -5.352743710900e-04 
       6.570112832295e-02      -2.448945492333e-01      -1.011918809085e+04      -1.015103641938e+04      -2.438737155010e-01       1.150920909902e+03       0.000000000000e+00      -2.597683374811e+03       2.073361111318e-01       2.073361111318e-01       2.030207283875e+04       2.857283447780e+00       3.535859306118e-01       1.196977956335e-04       1.765927039227e-08      -4.447571304139e-12      -1.428642029128e+00      -9.083205500495e-05      -1.428641723890e+00      -5.593198363942e-04 
       6.846615162817e-02      -2.344207823244e-01      -1.051156094832e+04      -1.054602620609e+04      -2.334441681442e-01       1.101208923481e+03       0.000000000000e+00      -2.698710048753e+03       1.983776657391e-01       1.983776657391e-01       2.109205241218e+04       2.968443318039e+00       3.382900335783e-01       1.146824918753e-04       1.690404355277e-08      -4.257363829830e-12      -1.484221950991e+00      -9.861241788643e-05      -1.484221659020e+00      -5.817114952563e-04 
       7.123673882994e-02      -2.240077378659e-01      -1.086542214950e+04      -1.090388527353e+04      -2.230750369953e-01       1.051827778185e+03       0.000000000000e+00      -2.790177785322e+03       1.894800417651e-01       1.894800417651e-01       2.180777054706e+04       3.069066835317e+00       3.230995216729e-01       1.095092323265e-04       1.615320280951e-08      -4.068261014732e-12      -1.534533696459e+00      -1.090404658837e-04      -1.534533417659e+00      -6.024844298405e-04 
       7.402751105492e-02      -2.136573323594e-01      -1.118317384869e+04      -1.122686918977e+04      -2.127680714194e-01       1.002936068151e+03       0.000000000000e+00      -2.872669647635e+03       1.806683682817e-01       1.806683682817e-01       2.245373837953e+04       3.159904850436e+00       3.080633606204e-01       1.044508562928e-04       1.540688060665e-08      -3.880296215546e-12      -1.579952691005e+00      -1.216829262473e-04      -1.579952425218e+00      -6.217176019883e-04 
       7.685038482143e-02      -2.034410276242e-01      -1.147006298984e+04      -1.151994082876e+04      -2.025943399067e-01       9.549602109639e+02       0.000000000000e+00      -2.947467070242e+03       1.720169577256e-01       1.720169577256e-01       2.303988165752e+04       3.242476135258e+00       2.933120308805e-01       9.948667521807e-05       1.467022506163e-08      -3.694766010148e-12      -1.621238320686e+00      -1.358458882316e-04      -1.621238067629e+00      -6.395978827914e-04 
